mepid,result,eugroup,identifier
4746,for,ECR,169726
257073,for,ECR,169726
257147,for,ECR,169726
257091,for,ECR,169726
96810,for,ECR,169726
256986,for,ECR,169726
197794,for,ECR,169726
257055,for,ECR,169726
197469,for,ECR,169726
256900,for,ECR,169726
220871,for,ECR,169726
257060,for,ECR,169726
239260,for,ECR,169726
257058,for,ECR,169726
257150,for,ECR,169726
257145,for,ECR,169726
256907,for,ECR,169726
257104,for,ECR,169726
197773,for,ECR,169726
197545,for,ECR,169726
257113,for,ECR,169726
257109,for,ECR,169726
204346,for,ECR,169726
257114,for,ECR,169726
257090,for,ECR,169726
257163,for,ECR,169726
257258,for,ECR,169726
256884,for,ECR,169726
123562,for,ECR,169726
124877,for,ECR,169726
124884,for,ECR,169726
23868,for,NI,169726
256960,for,NI,169726
257005,for,NI,169726
124858,for,NI,169726
257007,for,NI,169726
256989,for,NI,169726
125093,for,NI,169726
256969,for,NI,169726
96653,for,NI,169726
256971,for,NI,169726
256967,for,NI,169726
256955,for,NI,169726
220840,for,PfE,169726
256853,for,PfE,169726
256842,for,PfE,169726
197528,for,PfE,169726
261038,for,PfE,169726
256843,for,PfE,169726
204414,for,PfE,169726
256844,for,PfE,169726
202073,for,S&D,169726
256829,for,S&D,169726
256934,for,S&D,169726
256936,for,S&D,169726
197498,for,S&D,169726
257108,for,S&D,169726
256880,for,S&D,169726
38542,for,S&D,169726
257122,for,S&D,169726
257087,for,S&D,169726
33998,for,S&D,169726
1294,for,S&D,169726
197579,for,S&D,169726
257088,for,S&D,169726
256906,for,S&D,169726
197391,for,S&D,169726
256901,for,S&D,169726
197694,for,S&D,169726
257075,for,S&D,169726
257079,for,S&D,169726
257102,for,S&D,169726
256830,for,S&D,169726
256803,for,S&D,169726
197682,for,S&D,169726
197800,for,S&D,169726
197392,for,S&D,169726
256992,for,S&D,169726
256898,for,S&D,169726
197697,for,S&D,169726
256899,for,S&D,169726
230085,for,S&D,169726
91636,for,S&D,169726
197653,for,S&D,169726
257727,for,S&D,169726
257053,for,S&D,169726
124722,for,S&D,169726
124799,for,S&D,169726
257103,for,S&D,169726
257111,for,S&D,169726
88882,for,S&D,169726
124784,for,S&D,169726
244571,for,S&D,169726
112744,for,S&D,169726
96998,for,S&D,169726
218347,for,S&D,169726
257121,for,S&D,169726
256904,for,S&D,169726
256905,for,S&D,169726
37312,for,S&D,169726
257084,for,S&D,169726
197670,for,S&D,169726
197677,for,S&D,169726
257085,for,S&D,169726
257101,for,S&D,169726
257160,for,S&D,169726
257148,for,S&D,169726
198183,for,S&D,169726
197810,for,S&D,169726
5392,for,S&D,169726
257106,for,S&D,169726
28419,for,S&D,169726
256805,for,The Left,169726
257138,for,The Left,169726
197701,for,The Left,169726
197533,for,The Left,169726
187917,for,The Left,169726
197574,for,The Left,169726
197529,for,The Left,169726
257155,for,The Left,169726
256823,for,The Left,169726
124985,for,The Left,169726
197795,for,The Left,169726
257012,for,The Left,169726
257092,for,The Left,169726
197416,for,The Left,169726
256912,for,The Left,169726
125023,for,The Left,169726
256890,for,The Left,169726
197699,for,The Left,169726
124736,for,The Left,169726
257063,for,The Left,169726
245770,for,The Left,169726
257140,for,The Left,169726
257083,for,The Left,169726
257135,for,The Left,169726
257126,for,The Left,169726
257127,for,The Left,169726
127766,for,The Left,169726
190517,for,The Left,169726
257009,for,The Left,169726
124813,for,The Left,169726
257133,for,The Left,169726
257015,for,Verts/ALE,169726
197449,for,Verts/ALE,169726
197439,for,Verts/ALE,169726
256995,for,Verts/ALE,169726
197470,for,Verts/ALE,169726
256915,for,Verts/ALE,169726
197503,for,Verts/ALE,169726
96725,for,Verts/ALE,169726
106936,for,Verts/ALE,169726
183916,for,Verts/ALE,169726
197549,for,Verts/ALE,169726
96752,for,Verts/ALE,169726
197398,for,Verts/ALE,169726
197395,for,Verts/ALE,169726
197460,for,Verts/ALE,169726
197461,for,Verts/ALE,169726
96675,for,Verts/ALE,169726
197462,for,Verts/ALE,169726
257016,for,Verts/ALE,169726
208722,for,Verts/ALE,169726
24942,for,Verts/ALE,169726
197464,for,Verts/ALE,169726
257044,for,Verts/ALE,169726
198076,for,Verts/ALE,169726
197466,for,Verts/ALE,169726
197573,for,Verts/ALE,169726
256813,for,Verts/ALE,169726
103381,for,Verts/ALE,169726
197832,for,Verts/ALE,169726
256964,for,Verts/ALE,169726
197500,for,Verts/ALE,169726
256917,for,Verts/ALE,169726
256833,for,Verts/ALE,169726
257139,for,Verts/ALE,169726
201945,for,Verts/ALE,169726
111412,for,Verts/ALE,169726
256916,for,Verts/ALE,169726
58766,for,Verts/ALE,169726
197772,for,Verts/ALE,169726
256990,for,Verts/ALE,169726
256965,for,Verts/ALE,169726
97236,for,Verts/ALE,169726
256978,for,Verts/ALE,169726
197870,for,Verts/ALE,169726
257437,for,Verts/ALE,169726
190464,for,Verts/ALE,169726
23788,against,ECR,169726
256845,against,ECR,169726
257077,against,ECR,169726
197552,against,ECR,169726
257052,against,ECR,169726
197475,against,ESN,169726
256951,against,ESN,169726
256929,against,ESN,169726
257457,against,ESN,169726
190574,against,ESN,169726
256942,against,ESN,169726
256957,against,ESN,169726
257262,against,ESN,169726
256959,against,ESN,169726
257070,against,ESN,169726
257260,against,ESN,169726
257069,against,ESN,169726
256858,against,NI,169726
257067,against,NI,169726
257022,against,NI,169726
257118,against,NI,169726
257019,against,NI,169726
257021,against,NI,169726
256810,against,PPE,169726
197490,against,PPE,169726
256820,against,PPE,169726
113523,against,PPE,169726
96808,against,PPE,169726
256887,against,PPE,169726
256947,against,PPE,169726
197679,against,PPE,169726
197408,against,PPE,169726
197778,against,PPE,169726
197648,against,PPE,169726
251324,against,PPE,169726
204129,against,PPE,169726
257047,against,PPE,169726
257296,against,PPE,169726
28122,against,PPE,169726
28219,against,PPE,169726
124861,against,PPE,169726
257034,against,PPE,169726
257078,against,PPE,169726
257028,against,PPE,169726
256862,against,PPE,169726
204333,against,PPE,169726
257237,against,PPE,169726
257048,against,PPE,169726
96787,against,PPE,169726
99945,against,PPE,169726
28226,against,PPE,169726
256840,against,PPE,169726
1917,against,PPE,169726
197414,against,PPE,169726
257032,against,PPE,169726
256866,against,PPE,169726
251874,against,PPE,169726
124807,against,PPE,169726
125204,against,PPE,169726
125027,against,PPE,169726
97399,against,PPE,169726
220908,against,PPE,169726
197514,against,PPE,169726
193419,against,PPE,169726
257033,against,PPE,169726
257065,against,PPE,169726
257031,against,PPE,169726
96934,against,PPE,169726
197839,against,PPE,169726
125068,against,PPE,169726
256831,against,PPE,169726
256973,against,PPE,169726
256861,against,PPE,169726
197525,against,PPE,169726
197843,against,PPE,169726
256864,against,PPE,169726
256865,against,PPE,169726
256920,against,PPE,169726
95074,against,PPE,169726
23781,against,PPE,169726
204336,against,PPE,169726
1927,against,PPE,169726
124808,against,PPE,169726
124806,against,PPE,169726
190713,against,PPE,169726
257082,against,PPE,169726
124828,against,PPE,169726
256980,against,PPE,169726
197662,against,PPE,169726
256943,against,PPE,169726
256974,against,PPE,169726
28400,against,PPE,169726
197711,against,PPE,169726
124802,against,PPE,169726
257027,against,PPE,169726
256847,against,PPE,169726
124701,against,PPE,169726
107212,against,PPE,169726
257049,against,PPE,169726
257040,against,PPE,169726
110673,against,PPE,169726
197738,against,PPE,169726
197404,against,PPE,169726
257041,against,PPE,169726
206158,against,PPE,169726
125670,against,PPE,169726
256809,against,PPE,169726
256979,against,PPE,169726
28223,against,PPE,169726
86057,against,PPE,169726
197426,against,PPE,169726
125325,against,PPE,169726
197784,against,PPE,169726
256889,against,PPE,169726
257026,against,PPE,169726
257089,against,PPE,169726
256968,against,PPE,169726
204449,against,PPE,169726
197402,against,PPE,169726
256814,against,PPE,169726
125104,against,PPE,169726
219652,against,PPE,169726
256950,against,PPE,169726
96756,against,PPE,169726
98582,against,PPE,169726
124726,against,PPE,169726
96761,against,PPE,169726
125065,against,PPE,169726
204400,against,PPE,169726
197863,against,PPE,169726
197429,against,PPE,169726
197405,against,PPE,169726
257046,against,PPE,169726
28229,against,PPE,169726
197652,against,PPE,169726
197421,against,PPE,169726
197606,against,PPE,169726
124713,against,PPE,169726
124893,against,PPE,169726
96933,against,PPE,169726
197691,against,PfE,169726
131580,against,PfE,169726
256852,against,PfE,169726
256878,against,PfE,169726
257064,against,PfE,169726
257072,against,PfE,169726
197786,against,PfE,169726
236050,against,PfE,169726
256886,against,PfE,169726
96826,against,PfE,169726
256981,against,PfE,169726
256834,against,PfE,169726
256874,against,PfE,169726
260724,against,PfE,169726
256857,against,PfE,169726
256876,against,PfE,169726
256896,against,PfE,169726
28150,against,PfE,169726
197628,against,PfE,169726
94649,against,PfE,169726
96830,against,PfE,169726
189065,against,PfE,169726
197627,against,PfE,169726
256996,against,PfE,169726
256860,against,PfE,169726
256954,against,PfE,169726
256872,against,PfE,169726
256895,against,PfE,169726
197623,against,PfE,169726
257054,against,PfE,169726
197687,against,PfE,169726
126699,against,PfE,169726
256877,against,PfE,169726
256893,against,PfE,169726
197690,against,PfE,169726
88552,against,PfE,169726
213330,against,PfE,169726
256871,against,PfE,169726
197825,against,PfE,169726
256991,against,PfE,169726
256855,against,PfE,169726
200345,against,PfE,169726
256888,against,PfE,169726
256875,against,PfE,169726
185771,against,PfE,169726
257125,against,PfE,169726
5736,against,PfE,169726
256859,against,PfE,169726
124875,against,PfE,169726
103246,against,PfE,169726
256869,against,Renew,169726
204332,against,Renew,169726
124766,against,Renew,169726
257003,against,Renew,169726
257020,against,Renew,169726
197577,against,Renew,169726
256841,against,Renew,169726
256891,against,Renew,169726
197463,against,Renew,169726
197558,against,Renew,169726
257014,against,Renew,169726
256870,against,Renew,169726
197430,against,Renew,169726
257038,against,Renew,169726
256970,against,Renew,169726
96940,against,Renew,169726
204419,against,Renew,169726
197780,against,Renew,169726
197557,against,Renew,169726
197543,against,Renew,169726
197444,against,Renew,169726
135511,against,Renew,169726
198073,against,Renew,169726
197770,against,Renew,169726
197401,against,Renew,169726
257013,against,Renew,169726
197818,against,Renew,169726
22858,against,Renew,169726
257037,against,Renew,169726
197445,against,Renew,169726
198084,against,Renew,169726
96709,against,Renew,169726
257259,against,Renew,169726
257010,against,Renew,169726
197432,against,Renew,169726
257257,against,Renew,169726
256815,against,Renew,169726
256926,against,Renew,169726
256962,against,Renew,169726
257438,against,Renew,169726
256976,against,Renew,169726
130100,against,Renew,169726
197502,against,Renew,169726
197769,against,Renew,169726
220801,against,Renew,169726
257011,against,Renew,169726
197581,against,Renew,169726
256807,against,Renew,169726
197435,against,S&D,169726
245018,against,S&D,169726
256938,against,S&D,169726
237465,against,S&D,169726
197702,against,S&D,169726
96833,against,S&D,169726
124785,against,S&D,169726
1909,against,S&D,169726
28347,against,S&D,169726
256902,against,S&D,169726
229839,against,S&D,169726
256935,against,S&D,169726
204413,against,S&D,169726
197722,against,S&D,169726
96932,against,S&D,169726
257132,against,Verts/ALE,169726
257056,abstention,ECR,169726
256939,abstention,NI,169726
256987,abstention,Renew,169726
197400,abstention,Renew,169726
214839,abstention,Renew,169726
204418,abstention,S&D,169726
233862,abstention,S&D,169726
257066,abstention,S&D,169726
2152,attended,Greens/EFA,169726
2268,attended,GUE/NGL,169726
2341,attended,EPP,169726
4267,attended,S&D,169726
4289,attended,EPP,169726
22418,attended,EPP,169726
23699,attended,NA,169726
23816,attended,Patriots,169726
25758,attended,NA,169726
28307,attended,S&D,169726
28390,attended,EPP,169726
30123,attended,ECR,169726
34232,attended,S&D,169726
38511,attended,Patriots,169726
72779,attended,EPP,169726
86793,attended,Greens/EFA,169726
96668,attended,EPP,169726
96711,attended,Renew,169726
96791,attended,EPP,169726
96811,attended,EPP,169726
96812,attended,S&D,169726
96936,attended,EPP,169726
97968,attended,EPP,169726
99878,attended,ECR,169726
101039,attended,Patriots,169726
101585,attended,S&D,169726
112747,attended,S&D,169726
112748,attended,S&D,169726
118859,attended,EPP,169726
118949,attended,Patriots,169726
119652,attended,S&D,169726
122978,excused,S&D,169726
124691,attended,S&D,169726
124700,attended,Renew,169726
124760,attended,ECR,169726
124834,attended,NA,169726
124836,attended,S&D,169726
124866,attended,Renew,169726
124867,attended,S&D,169726
124984,attended,GUE/NGL,169726
125001,attended,Patriots,169726
125012,attended,EPP,169726
125042,attended,S&D,169726
125046,attended,S&D,169726
125052,attended,Patriots,169726
125106,attended,ECR,169726
128483,attended,ESN,169726
129073,attended,Renew,169726
185341,attended,EPP,169726
188096,attended,EPP,169726
188945,attended,EPP,169726
191693,attended,Renew,169726
197403,attended,S&D,169726
197406,attended,EPP,169726
197410,attended,EPP,169726
197412,attended,EPP,169726
197413,attended,EPP,169726
197417,attended,EPP,169726
197425,attended,EPP,169726
197473,attended,EPP,169726
197481,attended,NA,169726
197491,attended,S&D,169726
197492,attended,EPP,169726
197493,attended,ECR,169726
197497,attended,S&D,169726
197516,attended,ECR,169726
197517,attended,EPP,169726
197523,attended,EPP,169726
197534,attended,EPP,169726
197553,attended,ECR,169726
197556,attended,ESN,169726
197572,attended,ECR,169726
197578,attended,Patriots,169726
197589,attended,Renew,169726
197591,attended,S&D,169726
197607,attended,ECR,169726
197618,attended,S&D,169726
197621,attended,EPP,169726
197646,attended,EPP,169726
197649,attended,EPP,169726
197655,attended,ECR,169726
197672,attended,Renew,169726
197718,attended,S&D,169726
197719,attended,S&D,169726
197721,attended,S&D,169726
197734,attended,NA,169726
197763,attended,ESN,169726
197781,attended,Renew,169726
197782,attended,S&D,169726
197802,attended,Greens/EFA,169726
197824,attended,ECR,169726
197829,attended,Patriots,169726
197831,attended,Patriots,169726
197840,attended,EPP,169726
197842,attended,Renew,169726
197845,attended,S&D,169726
198176,attended,Patriots,169726
198490,attended,ECR,169726
202036,attended,EPP,169726
220897,attended,Patriots,169726
236053,attended,GUE/NGL,169726
249982,attended,NA,169726
256804,attended,EPP,169726
256811,attended,ECR,169726
256824,attended,S&D,169726
256850,attended,Patriots,169726
256851,attended,NA,169726
256863,attended,EPP,169726
256882,attended,Patriots,169726
256885,attended,S&D,169726
256908,attended,S&D,169726
256909,attended,Patriots,169726
256910,attended,GUE/NGL,169726
256911,attended,GUE/NGL,169726
256913,attended,GUE/NGL,169726
256918,attended,EPP,169726
256927,attended,GUE/NGL,169726
256928,attended,ESN,169726
256937,attended,S&D,169726
256941,attended,ESN,169726
256944,attended,ESN,169726
256945,attended,ESN,169726
256946,attended,Renew,169726
256948,attended,ESN,169726
256949,attended,ESN,169726
256977,attended,EPP,169726
256983,attended,EPP,169726
256985,attended,EPP,169726
256993,attended,S&D,169726
256994,attended,S&D,169726
256999,attended,S&D,169726
257000,attended,ECR,169726
257001,attended,S&D,169726
257002,attended,S&D,169726
257024,attended,Patriots,169726
257029,attended,Patriots,169726
257030,attended,EPP,169726
257039,attended,EPP,169726
257043,attended,EPP,169726
257045,attended,EPP,169726
257051,attended,EPP,169726
257057,attended,Renew,169726
257059,attended,S&D,169726
257061,attended,Renew,169726
257081,attended,EPP,169726
257086,attended,ECR,169726
257094,attended,ECR,169726
257095,attended,ECR,169726
257097,attended,ECR,169726
257098,attended,S&D,169726
257099,attended,ECR,169726
257100,attended,S&D,169726
257105,attended,S&D,169726
257107,attended,EPP,169726
257110,attended,Renew,169726
257112,attended,Renew,169726
257116,attended,ECR,169726
257117,attended,ECR,169726
257119,attended,ECR,169726
257120,attended,NA,169726
257124,attended,S&D,169726
257128,attended,EPP,169726
257129,attended,GUE/NGL,169726
257131,attended,Patriots,169726
257137,attended,EPP,169726
257143,attended,ECR,169726
257170,attended,S&D,169726
257238,attended,S&D,169726
257255,attended,ESN,169726
257256,attended,Renew,169726
257261,attended,EPP,169726
257297,attended,Renew,169726
257298,attended,Renew,169726
257299,attended,GUE/NGL,169726
257300,attended,Renew,169726
257301,attended,Renew,169726
260035,attended,S&D,169726
