mepid,result,eugroup,identifier
4746,for,ECR,170667
257073,for,ECR,170667
257096,for,ECR,170667
257093,for,ECR,170667
257147,for,ECR,170667
257095,for,ECR,170667
257076,for,ECR,170667
257091,for,ECR,170667
96810,for,ECR,170667
256986,for,ECR,170667
197794,for,ECR,170667
257055,for,ECR,170667
257144,for,ECR,170667
197469,for,ECR,170667
256900,for,ECR,170667
256845,for,ECR,170667
257149,for,ECR,170667
257077,for,ECR,170667
4395,for,ECR,170667
256922,for,ECR,170667
257080,for,ECR,170667
239260,for,ECR,170667
257058,for,ECR,170667
257086,for,ECR,170667
257150,for,ECR,170667
257145,for,ECR,170667
256907,for,ECR,170667
197820,for,ECR,170667
257104,for,ECR,170667
197545,for,ECR,170667
257113,for,ECR,170667
257109,for,ECR,170667
204346,for,ECR,170667
257163,for,ECR,170667
256925,for,ECR,170667
256806,for,ECR,170667
257258,for,ECR,170667
125106,for,ECR,170667
257143,for,ECR,170667
197537,for,ECR,170667
197552,for,ECR,170667
257052,for,ECR,170667
124877,for,ECR,170667
124884,for,ECR,170667
197475,for,ESN,170667
256951,for,ESN,170667
257457,for,ESN,170667
256928,for,ESN,170667
256949,for,ESN,170667
256808,for,ESN,170667
256941,for,ESN,170667
256957,for,ESN,170667
256924,for,ESN,170667
256959,for,ESN,170667
257070,for,ESN,170667
257062,for,ESN,170667
257260,for,ESN,170667
257069,for,ESN,170667
23868,for,NI,170667
124858,for,NI,170667
25758,for,NI,170667
256939,for,NI,170667
257022,for,NI,170667
257007,for,NI,170667
198373,for,NI,170667
257118,for,NI,170667
256969,for,NI,170667
96653,for,NI,170667
256971,for,NI,170667
124834,for,NI,170667
256966,for,NI,170667
256967,for,NI,170667
197490,for,PPE,170667
256820,for,PPE,170667
197492,for,PPE,170667
256887,for,PPE,170667
256947,for,PPE,170667
197408,for,PPE,170667
197778,for,PPE,170667
197648,for,PPE,170667
251324,for,PPE,170667
204129,for,PPE,170667
257081,for,PPE,170667
257296,for,PPE,170667
28122,for,PPE,170667
28219,for,PPE,170667
256921,for,PPE,170667
257078,for,PPE,170667
257028,for,PPE,170667
256862,for,PPE,170667
257237,for,PPE,170667
257048,for,PPE,170667
96787,for,PPE,170667
99945,for,PPE,170667
28226,for,PPE,170667
96811,for,PPE,170667
1917,for,PPE,170667
197414,for,PPE,170667
2341,for,PPE,170667
256866,for,PPE,170667
251874,for,PPE,170667
124807,for,PPE,170667
125204,for,PPE,170667
125027,for,PPE,170667
97399,for,PPE,170667
220908,for,PPE,170667
262021,for,PPE,170667
256985,for,PPE,170667
197514,for,PPE,170667
257033,for,PPE,170667
197412,for,PPE,170667
124895,for,PPE,170667
257065,for,PPE,170667
257031,for,PPE,170667
197839,for,PPE,170667
125068,for,PPE,170667
256973,for,PPE,170667
256861,for,PPE,170667
197525,for,PPE,170667
97968,for,PPE,170667
197843,for,PPE,170667
256865,for,PPE,170667
95074,for,PPE,170667
23781,for,PPE,170667
204336,for,PPE,170667
1927,for,PPE,170667
124808,for,PPE,170667
124806,for,PPE,170667
256868,for,PPE,170667
190713,for,PPE,170667
257082,for,PPE,170667
124828,for,PPE,170667
96936,for,PPE,170667
197662,for,PPE,170667
256943,for,PPE,170667
256974,for,PPE,170667
197711,for,PPE,170667
257151,for,PPE,170667
257027,for,PPE,170667
256847,for,PPE,170667
124701,for,PPE,170667
257049,for,PPE,170667
257040,for,PPE,170667
110673,for,PPE,170667
197738,for,PPE,170667
197404,for,PPE,170667
257128,for,PPE,170667
257041,for,PPE,170667
197413,for,PPE,170667
206158,for,PPE,170667
125670,for,PPE,170667
256809,for,PPE,170667
256979,for,PPE,170667
197422,for,PPE,170667
28223,for,PPE,170667
197425,for,PPE,170667
86057,for,PPE,170667
197426,for,PPE,170667
125325,for,PPE,170667
197417,for,PPE,170667
256889,for,PPE,170667
119435,for,PPE,170667
256863,for,PPE,170667
256968,for,PPE,170667
197402,for,PPE,170667
256814,for,PPE,170667
125104,for,PPE,170667
219652,for,PPE,170667
256950,for,PPE,170667
37324,for,PPE,170667
256983,for,PPE,170667
96756,for,PPE,170667
197429,for,PPE,170667
197405,for,PPE,170667
257045,for,PPE,170667
257046,for,PPE,170667
28229,for,PPE,170667
256977,for,PPE,170667
124893,for,PPE,170667
185341,for,PPE,170667
96933,for,PPE,170667
197691,for,PfE,170667
124973,for,PfE,170667
256852,for,PfE,170667
261797,for,PfE,170667
256998,for,PfE,170667
256881,for,PfE,170667
257024,for,PfE,170667
256878,for,PfE,170667
257064,for,PfE,170667
257072,for,PfE,170667
197829,for,PfE,170667
220840,for,PfE,170667
197786,for,PfE,170667
236050,for,PfE,170667
256886,for,PfE,170667
256981,for,PfE,170667
256834,for,PfE,170667
256874,for,PfE,170667
260724,for,PfE,170667
256853,for,PfE,170667
192254,for,PfE,170667
256857,for,PfE,170667
256876,for,PfE,170667
28150,for,PfE,170667
197628,for,PfE,170667
94649,for,PfE,170667
96830,for,PfE,170667
189065,for,PfE,170667
197627,for,PfE,170667
197528,for,PfE,170667
256909,for,PfE,170667
256996,for,PfE,170667
261038,for,PfE,170667
256860,for,PfE,170667
256954,for,PfE,170667
256872,for,PfE,170667
256895,for,PfE,170667
197623,for,PfE,170667
257029,for,PfE,170667
257054,for,PfE,170667
197687,for,PfE,170667
126699,for,PfE,170667
256877,for,PfE,170667
256893,for,PfE,170667
204414,for,PfE,170667
256844,for,PfE,170667
256882,for,PfE,170667
197690,for,PfE,170667
88552,for,PfE,170667
197578,for,PfE,170667
256871,for,PfE,170667
220897,for,PfE,170667
256991,for,PfE,170667
256855,for,PfE,170667
257050,for,PfE,170667
256888,for,PfE,170667
185771,for,PfE,170667
257125,for,PfE,170667
5736,for,PfE,170667
256859,for,PfE,170667
124875,for,PfE,170667
261796,for,PfE,170667
103246,for,PfE,170667
256987,for,Renew,170667
256869,for,Renew,170667
197400,for,Renew,170667
124766,for,Renew,170667
197781,for,Renew,170667
257003,for,Renew,170667
257110,for,Renew,170667
197577,for,Renew,170667
96711,for,Renew,170667
256891,for,Renew,170667
197558,for,Renew,170667
257014,for,Renew,170667
257038,for,Renew,170667
256970,for,Renew,170667
96940,for,Renew,170667
840,for,Renew,170667
204419,for,Renew,170667
197780,for,Renew,170667
197557,for,Renew,170667
197543,for,Renew,170667
135511,for,Renew,170667
197770,for,Renew,170667
197447,for,Renew,170667
197401,for,Renew,170667
257013,for,Renew,170667
191693,for,Renew,170667
197818,for,Renew,170667
22858,for,Renew,170667
257037,for,Renew,170667
257300,for,Renew,170667
257259,for,Renew,170667
257010,for,Renew,170667
197432,for,Renew,170667
257257,for,Renew,170667
256815,for,Renew,170667
256946,for,Renew,170667
257438,for,Renew,170667
256976,for,Renew,170667
130100,for,Renew,170667
197502,for,Renew,170667
256879,for,Renew,170667
