mepid,mep,result,group,identifier
6407,Arthuis,for,ALDE,93002
6400,Auštrevičius,for,ALDE,93002
6097,van Baalen,for,ALDE,93002
6110,Bearder,for,ALDE,93002
6646,Becerra Basterrechea,for,ALDE,93002
6089,Bilbao Barandica,for,ALDE,93002
6708,Calvet Chambon,for,ALDE,93002
5328,Cavada,for,ALDE,93002
6339,Charanzová,for,ALDE,93002
4761,Cornillet,for,ALDE,93002
1060,Deprez,for,ALDE,93002
6340,Dlabajová,for,ALDE,93002
6601,Federley,for,ALDE,93002
6724,Giménez Barbat,for,ALDE,93002
1793,Goerens,for,ALDE,93002
5330,Griesbeck,for,ALDE,93002
6379,Grigule-Pēterse,for,ALDE,93002
6043,Hirsch,for,ALDE,93002
6622,Huitema,for,ALDE,93002
5681,Hyusmenova,for,ALDE,93002
5385,in 't Veld,for,ALDE,93002
5433,Jäätteenmäki,for,ALDE,93002
6388,Jakovčić,for,ALDE,93002
6338,Ježek,for,ALDE,93002
6328,Kallas,for,ALDE,93002
6766,Katainen,for,ALDE,93002
5364,Klinz,for,ALDE,93002
6504,Kyuchyuk,for,ALDE,93002
5889,Løkkegaard,for,ALDE,93002
6376,Marinho e Pinto,for,ALDE,93002
6402,Mazuronis,for,ALDE,93002
5857,Michel,for,ALDE,93002
6690,Mihaylova,for,ALDE,93002
6626,van Miltenburg,for,ALDE,93002
6500,Müller,for,ALDE,93002
6760,Nagtegaal,for,ALDE,93002
6614,Nart,for,ALDE,93002
6705,Paet,for,ALDE,93002
6644,Pagazaurtundúa Ruiz,for,ALDE,93002
6510,Petersen,for,ALDE,93002
6266,Radoš,for,ALDE,93002
4676,Ries,for,ALDE,93002
6056,Riquet,for,ALDE,93002
6154,Rochefort,for,ALDE,93002
5890,Rohde,for,ALDE,93002
6100,Schaake,for,ALDE,93002
6331,Toom,for,ALDE,93002
6281,Torvalds,for,ALDE,93002
6181,Tremosa i Balcells,for,ALDE,93002
5879,Uspaskich,for,ALDE,93002
6151,Vajgl,for,ALDE,93002
6710,Vautmans,for,ALDE,93002
6774,Vehkaperä,for,ALDE,93002
6159,Verhofstadt,for,ALDE,93002
5770,Weber Renate,for,ALDE,93002
5864,Wikström,for,ALDE,93002
6574,Bashir,for,ECR,93002
4911,Belder,for,ECR,93002
6081,Campbell Bannerman,for,ECR,93002
5490,Czarnecki,for,ECR,93002
6719,Czesak,for,ECR,93002
6712,Dalton,for,ECR,93002
6291,Demesmaeker,for,ECR,93002
6516,Dohrmann,for,ECR,93002
6743,Flack,for,ECR,93002
5472,Fotyga,for,ECR,93002
6452,Gericke,for,ECR,93002
6460,Henkel,for,ECR,93002
6725,Hoc,for,ECR,93002
5563,Karim,for,ECR,93002
6525,Karski,for,ECR,93002
6726,Kłosowski,for,ECR,93002
6461,Kölmel,for,ECR,93002
5453,Krupa,for,ECR,93002
5507,Kuźmiuk,for,ECR,93002
6704,Loones,for,ECR,93002
6608,Lundgren,for,ECR,93002
6087,McClarkin,for,ECR,93002
6234,McIntyre,for,ECR,93002
5996,Macovei,for,ECR,93002
6667,Marias,for,ECR,93002
6742,Matthews,for,ECR,93002
5851,Messerschmidt,for,ECR,93002
6536,Ożóg,for,ECR,93002
6512,Piecha,for,ECR,93002
5460,Piotrowski,for,ECR,93002
5974,Poręba,for,ECR,93002
6736,Procter,for,ECR,93002
6718,Ruohonen-Lerner,for,ECR,93002
6428,Sernagiotto,for,ECR,93002
6464,Starbatty,for,ECR,93002
6682,Stevens,for,ECR,93002
6546,Sulík,for,ECR,93002
6088,Swinburne,for,ECR,93002
4925,Tannock,for,ECR,93002
5207,Theocharous,for,ECR,93002
